Year,Week,Ranking,TV,movie_zh_name,category,director,imdb_score
2021,39,10,Mad Dog,瘋狗,"犯罪, 驚悚",Hwang Eui-kyung,7.7
2021,39,2,Hometown Cha-Cha-Cha,海岸村恰恰恰,"浪漫, 喜劇",Shin Ha-eun,8.5
2021,39,3,Hospital Playlist,機智醫生生活,醫療,Lee Woo-jung,8.8
2021,39,3,Hospital Playlist,機智醫生生活,醫療,Shin Won-ho,8.8
2021,39,7,Hotel Del Luna,德魯納酒店,"奇幻, 浪漫, 喜劇",Hong Jeong-eun,8.2
2021,39,7,Hotel Del Luna,德魯納酒店,"奇幻, 浪漫, 喜劇",Hong Mi Ran,8.2
2021,40,1,Squid Game,魷魚遊戲,驚悚,Hwang Dong-hyuk,8
2021,40,2,Hometown Cha-Cha-Cha,海岸村恰恰恰,"浪漫, 喜劇",Shin Ha-eun,8.5
2021,40,3,Hospital Playlist,機智醫生生活,醫療,Lee Woo-jung,8.8
2021,40,3,Hospital Playlist,機智醫生生活,醫療,Shin Won-ho,8.8
2021,40,8,Hotel Del Luna,德魯納酒店,"奇幻, 浪漫, 喜劇",Hong Jeong-eun,8.2
2021,40,8,Hotel Del Luna,德魯納酒店,"奇幻, 浪漫, 喜劇",Hong Mi Ran,8.2
2021,41,1,Hometown Cha-Cha-Cha,海岸村恰恰恰,"浪漫, 喜劇",Shin Ha-eun,8.5
2021,41,2,Squid Game,魷魚遊戲,驚悚,Hwang Dong-hyuk,8
2021,41,3,Hospital Playlist,機智醫生生活,醫療,Lee Woo-jung,8.8
2021,41,3,Hospital Playlist,機智醫生生活,醫療,Shin Won-ho,8.8
2021,41,8,The King's Affection,戀慕,"浪漫, 漫畫改編, 時代經典",Han Hee-jung,7.9
